"Mod name","Registry name","Item ID","Display name"
"Blood Magic","bloodmagic:accelerationrune",1576,"Acceleration Rune"
"Blood Magic","bloodmagic:activationcrystalawakened",1691,"Awakened Activation Crystal"
"Blood Magic","bloodmagic:activationcrystalcreative",1692,"Creative Activation Crystal"
"Blood Magic","bloodmagic:activationcrystalweak",1690,"Weak Activation Crystal"
"Blood Magic","bloodmagic:airritualstone",1579,"Air Ritual Stone"
"Blood Magic","bloodmagic:airscribetool",1693,"Inscription Tool: Air"
"Blood Magic","bloodmagic:airsigil",1677,"Air Sigil"
"Blood Magic","bloodmagic:alchemicalreactionchamber",1585,"Alchemical Reaction Chamber"
"Blood Magic","bloodmagic:alchemytable",1592,"Alchemy Table"
"Blood Magic","bloodmagic:altar",1591,"Blood Altar"
"Blood Magic","bloodmagic:altarcapacityrune",1573,"Rune of Capacity"
"Blood Magic","bloodmagic:apprenticebloodorb",1663,"Apprentice Blood Orb"
"Blood Magic","bloodmagic:arcaneashes",1680,"Arcane Ashes"
"Blood Magic","bloodmagic:basemonstersoul",1712,"Demon Will"
"Blood Magic","bloodmagic:basemonstersoul_corrosive",1713,"Demon Will"
"Blood Magic","bloodmagic:basemonstersoul_destructive",1714,"Demon Will"
"Blood Magic","bloodmagic:basemonstersoul_steadfast",1715,"Demon Will"
"Blood Magic","bloodmagic:basemonstersoul_vengeful",1716,"Demon Will"
"Blood Magic","bloodmagic:basiccuttingfluid",1730,"Basic Cutting Fluid"
"Blood Magic","bloodmagic:bettercapacityrune",1574,"Rune of Augmented Capacity"
"Blood Magic","bloodmagic:blankrune",1568,"Blank Rune"
"Blood Magic","bloodmagic:blankslate",1669,"Blank Slate"
"Blood Magic","bloodmagic:bloodlightsigil",1678,"Sigil of the Blood Lamp"
"Blood Magic","bloodmagic:bloodstonebrick",1589,"Bloodstone Brick"
"Blood Magic","bloodmagic:bow_power_anointment",1636,"Iron Tip"
"Blood Magic","bloodmagic:chargingrune",1577,"Charging Rune"
"Blood Magic","bloodmagic:coalsand",1746,"Coal Sand"
"Blood Magic","bloodmagic:corrosivecrystal",1719,"Corrosive Will Crystal"
"Blood Magic","bloodmagic:corrosivedemoncrystal",1624,"Corrosive Crystal Cluster"
"Blood Magic","bloodmagic:corrupted_dust",1748,"item.bloodmagic.corrupted_dust"
"Blood Magic","bloodmagic:corrupted_tinydust",1749,"item.bloodmagic.corrupted_tinydust"
"Blood Magic","bloodmagic:crystalline_resonator",1729,"Crystalline Resonator"
"Blood Magic","bloodmagic:daggerofsacrifice",1681,"Dagger of Sacrifice"
"Blood Magic","bloodmagic:defaultcrystal",1718,"Demon Will Crystal"
"Blood Magic","bloodmagic:deforester_charge",1607,"Deforester Charge"
"Blood Magic","bloodmagic:demoncrucible",1586,"Demon Crucible"
"Blood Magic","bloodmagic:demoncrystallizer",1587,"Demon Crystallizer"
"Blood Magic","bloodmagic:demonslate",1672,"Demonic Slate"
"Blood Magic","bloodmagic:demonwillgauge",1723,"item.bloodmagic.demonwillgauge"
"Blood Magic","bloodmagic:destructivecrystal",1721,"Destructive Will Crystal"
"Blood Magic","bloodmagic:destructivedemoncrystal",1625,"Destructive Crystal Cluster"
"Blood Magic","bloodmagic:dislocationrune",1572,"Displacement Rune"
"Blood Magic","bloodmagic:divinationsigil",1666,"Divination Sigil"
"Blood Magic","bloodmagic:doubt_bucket",1661,"item.bloodmagic.doubt_bucket"
"Blood Magic","bloodmagic:dungeon_brick1",1639,"Demon Bricks"
"Blood Magic","bloodmagic:dungeon_brick2",1640,"Offset Demon Bricks"
"Blood Magic","bloodmagic:dungeon_brick3",1641,"Long Demon Bricks"
"Blood Magic","bloodmagic:dungeon_brick_assorted",1642,"Assorted Demon Bricks"
"Blood Magic","bloodmagic:dungeon_brick_gate",1656,"Demon Brick Gate"
"Blood Magic","bloodmagic:dungeon_brick_stairs",1649,"Demon Brick Stairs"
"Blood Magic","bloodmagic:dungeon_brick_wall",1654,"Demon Brick Wall"
"Blood Magic","bloodmagic:dungeon_eye",1644,"Demon Eye"
"Blood Magic","bloodmagic:dungeon_metal",1659,"block.bloodmagic.dungeon_metal"
"Blood Magic","bloodmagic:dungeon_ore",1658,"Demonite"
"Blood Magic","bloodmagic:dungeon_pillar_cap",1653,"Demon Stone Pillar Cap"
"Blood Magic","bloodmagic:dungeon_pillar_center",1651,"Demon Stone Pillar"
"Blood Magic","bloodmagic:dungeon_pillar_special",1652,"Accented Demon Stone Pillar"
"Blood Magic","bloodmagic:dungeon_polished",1645,"Polished Demon Stone"
"Blood Magic","bloodmagic:dungeon_polished_gate",1657,"Demon Stone Gate"
"Blood Magic","bloodmagic:dungeon_polished_stairs",1650,"Demon Stone Stairs"
"Blood Magic","bloodmagic:dungeon_polished_wall",1655,"Demon Stone Wall"
"Blood Magic","bloodmagic:dungeon_smallbrick",1648,"Small Demon Bricks"
"Blood Magic","bloodmagic:dungeon_stone",1643,"Demon Stone"
"Blood Magic","bloodmagic:dungeon_tester",1752,"item.bloodmagic.dungeon_tester"
"Blood Magic","bloodmagic:dungeon_tile",1646,"Demon Stone Tiles"
"Blood Magic","bloodmagic:dungeon_tilespecial",1647,"Accented Demon Stone Tiles"
"Blood Magic","bloodmagic:duskritualstone",1583,"Dusk Ritual Stone"
"Blood Magic","bloodmagic:duskscribetool",1697,"Inscription Tool: Dusk"
"Blood Magic","bloodmagic:earthritualstone",1582,"Earth Ritual Stone"
"Blood Magic","bloodmagic:earthscribetool",1696,"Inscription Tool: Earth"
"Blood Magic","bloodmagic:ethereal_mimic",1603,"block.bloodmagic.ethereal_mimic"
"Blood Magic","bloodmagic:etherealslate",1673,"Ethereal Slate"
"Blood Magic","bloodmagic:experiencebook",1684,"Tome of Peritia"
"Blood Magic","bloodmagic:explosivepowder",1731,"Explosive Powder"
"Blood Magic","bloodmagic:fireritualstone",1581,"Fire Ritual Stone"
"Blood Magic","bloodmagic:firescribetool",1694,"Inscription Tool: Fire"
"Blood Magic","bloodmagic:fortune_anointment",1631,"Fortuna Extract"
"Blood Magic","bloodmagic:fragment_netherite_scrap",1740,"Ancient Debris Fragment"
"Blood Magic","bloodmagic:fungal_charge",1609,"Fungal Charge"
"Blood Magic","bloodmagic:furnacecell_primitive",1725,"Primitive Fuel Cell"
"Blood Magic","bloodmagic:goldfragment",1739,"Gold Ore Fragment"
"Blood Magic","bloodmagic:goldgravel",1742,"Gold Gravel"
"Blood Magic","bloodmagic:goldsand",1745,"Gold Sand"
"Blood Magic","bloodmagic:gravel_netherite_scrap",1743,"Ancient Debris Gravel"
"Blood Magic","bloodmagic:growing_doubt",1605,"block.bloodmagic.creeping_doubt"
"Blood Magic","bloodmagic:growthsigil",1610,"Sigil of the Green Grove"
"Blood Magic","bloodmagic:hidden_knowledge_anointment",1633,"Miner's Secrets"
"Blood Magic","bloodmagic:holy_water_anointment",1632,"Holy Water"
"Blood Magic","bloodmagic:icesigil",1613,"Sigil of the Frozen Lake"
"Blood Magic","bloodmagic:incensealtar",1593,"Incense Altar"
"Blood Magic","bloodmagic:infusedslate",1671,"Imbued Slate"
"Blood Magic","bloodmagic:ingot_hellforged",1751,"item.bloodmagic.ingot_hellforged"
"Blood Magic","bloodmagic:ironfragment",1738,"Iron Ore Fragment"
"Blood Magic","bloodmagic:irongravel",1741,"Iron Gravel"
"Blood Magic","bloodmagic:ironsand",1744,"Iron Sand"
"Blood Magic","bloodmagic:largebloodstonebrick",1588,"Large Bloodstone Brick"
"Blood Magic","bloodmagic:lavacrystal",1682,"Lava Crystal"
"Blood Magic","bloodmagic:lavasigil",1676,"Lava Sigil"
"Blood Magic","bloodmagic:life_essence_bucket",1660,"Bucket of Life"
"Blood Magic","bloodmagic:lightritualstone",1584,"Dawn Ritual Stone"
"Blood Magic","bloodmagic:livingboots",1688,"Living Boots"
"Blood Magic","bloodmagic:livinghelmet",1685,"Living Helmet"
"Blood Magic","bloodmagic:livingleggings",1687,"Living Leggings"
"Blood Magic","bloodmagic:livingplate",1686,"Living Chestplate"
"Blood Magic","bloodmagic:looting_anointment",1635,"Plunderer's Glint"
"Blood Magic","bloodmagic:magicianbloodorb",1664,"Magician Blood Orb"
"Blood Magic","bloodmagic:masterbloodorb",1665,"Master Blood Orb"
"Blood Magic","bloodmagic:masterritualstone",1590,"Master Ritual Stone"
"Blood Magic","bloodmagic:melee_anointment",1629,"Honing Oil"
"Blood Magic","bloodmagic:mimic",1602,"block.bloodmagic.mimic"
"Blood Magic","bloodmagic:miningsigil",1611,"Sigil of the Fast Miner"
"Blood Magic","bloodmagic:nether_soil",1604,"block.bloodmagic.nether_soil"
"Blood Magic","bloodmagic:obsidianbrickpath",1600,"Obsidian Path"
"Blood Magic","bloodmagic:obsidiantilepath",1601,"Tiled Obsidian Path"
"Blood Magic","bloodmagic:orbcapacityrune",1575,"Rune of the Orb"
"Blood Magic","bloodmagic:plantoil",1734,"Plant Oil"
"Blood Magic","bloodmagic:primitive_crystalline_resonator",1728,"Primitive Resonator"
"Blood Magic","bloodmagic:primitive_explosive_cell",1726,"Primitive Explosive Cell"
"Blood Magic","bloodmagic:primitive_hydration_cell",1727,"Primitive Hydration Cell"
"Blood Magic","bloodmagic:quick_draw_anointment",1634,"Dexterity Alkahest"
"Blood Magic","bloodmagic:rawdemoncrystal",1623,"Raw Crystal Cluster"
"Blood Magic","bloodmagic:reagentair",1707,"Air Reagent"
"Blood Magic","bloodmagic:reagentbinding",1710,"Binding Reagent"
"Blood Magic","bloodmagic:reagentbloodlight",1708,"Blood Lamp Reagent"
"Blood Magic","bloodmagic:reagentfastminer",1705,"Mining Reagent"
"Blood Magic","bloodmagic:reagentgrowth",1704,"Growth Reagent"
"Blood Magic","bloodmagic:reagentholding",1711,"Holding Reagent"
"Blood Magic","bloodmagic:reagentlava",1702,"Lava Reagent"
"Blood Magic","bloodmagic:reagentmagnetism",1706,"Magnetism Reagent"
"Blood Magic","bloodmagic:reagentsight",1709,"Sight Reagent"
